VTX, IDX, SV_POSITION.x, SV_POSITION.y, SV_POSITION.z, SV_POSITION.w, COLOR.x, COLOR.y, COLOR.z, COLOR.w, TEXCOORD.x, TEXCOORD.y
1257, 1018, -0.83863,  0.36924,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.91602,  0.1875
1258, 1020, -0.83684,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.91992,  0.32813
1259, 1021, -0.83863,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.91602,  0.32813
1260, 1022, -0.83324,  0.36444,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.21094,  0.4375
1261, 1023, -0.82875,  0.36444,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.2207,  0.4375
1262, 1024, -0.82875,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.2207,  0.53125
1263, 1022, -0.83324,  0.36444,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.21094,  0.4375
1264, 1024, -0.82875,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.2207,  0.53125
1265, 1025, -0.83324,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.21094,  0.53125
1266, 1026, -0.82156,  0.36764,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.94336,  0.32813
1267, 1027, -0.81527,  0.36764,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.95703,  0.32813
1268, 1028, -0.81527,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.95703,  0.45313
1269, 1026, -0.82156,  0.36764,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.94336,  0.32813
1270, 1028, -0.81527,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.95703,  0.45313
1271, 1029, -0.82156,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.94336,  0.45313
1272, 1030, -0.81437,  0.36924,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.76953,  0.1875
1273, 1031, -0.80988,  0.36924,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.7793,  0.1875
1274, 1032, -0.80988,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.7793,  0.32813
1275, 1030, -0.81437,  0.36924,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.76953,  0.1875
1276, 1032, -0.80988,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.7793,  0.32813
1277, 1033, -0.81437,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.76953,  0.32813
1278, 1034, -0.80809,  0.36444,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.26953,  0.4375
1279, 1035, -0.80359,  0.36444,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.2793,  0.4375
1280, 1036, -0.80359,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.2793,  0.53125
1281, 1034, -0.80809,  0.36444,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.26953,  0.4375
1282, 1036, -0.80359,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.2793,  0.53125
1283, 1037, -0.80809,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.26953,  0.53125
1284, 1038, -0.8027,  0.36444,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.16797,  0.4375
1285, 1039, -0.79641,  0.36444,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.18164,  0.4375
1286, 1040, -0.79641,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.18164,  0.53125
1287, 1038, -0.8027,  0.36444,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.16797,  0.4375
1288, 1040, -0.79641,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.18164,  0.53125
1289, 1041, -0.8027,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.16797,  0.53125
1290, 1042, -0.79551,  0.36444,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.26953,  0.4375
1291, 1043, -0.79102,  0.36444,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.2793,  0.4375
1292, 1044, -0.79102,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.2793,  0.53125
1293, 1042, -0.79551,  0.36444,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.26953,  0.4375
1294, 1044, -0.79102,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.2793,  0.53125
1295, 1045, -0.79551,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.26953,  0.53125
1296, 1046, -0.78516,  0.37639,  0.50,  1.00,  0.25882,  0.58824,  0.98039,  0.40,  0.00098,  0.00781
1297, 1047, -0.70938,  0.37639,  0.50,  1.00,  0.25882,  0.58824,  0.98039,  0.40,  0.00098,  0.00781
1298, 1048, -0.70938,  0.34729,  0.50,  1.00,  0.25882,  0.58824,  0.98039,  0.40,  0.00098,  0.00781
1299, 1046, -0.78516,  0.37639,  0.50,  1.00,  0.25882,  0.58824,  0.98039,  0.40,  0.00098,  0.00781
1300, 1048, -0.70938,  0.34729,  0.50,  1.00,  0.25882,  0.58824,  0.98039,  0.40,  0.00098,  0.00781
1301, 1049, -0.78516,  0.34729,  0.50,  1.00,  0.25882,  0.58824,  0.98039,  0.40,  0.00098,  0.00781
1302, 1050, -0.78113,  0.36764,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.04883,  0.4375
1303, 1051, -0.77664,  0.36764,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.05859,  0.4375
1304, 1052, -0.77664,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.05859,  0.5625
1305, 1050, -0.78113,  0.36764,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.04883,  0.4375
1306, 1052, -0.77664,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.05859,  0.5625
1307, 1053, -0.78113,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.04883,  0.5625
1308, 1054, -0.77395,  0.36924,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.91602,  0.1875
1309, 1055, -0.77215,  0.36924,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.91992,  0.1875
1310, 1056, -0.77215,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.91992,  0.32813
1311, 1054, -0.77395,  0.36924,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.91602,  0.1875
1312, 1056, -0.77215,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.91992,  0.32813
1313, 1057, -0.77395,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.91602,  0.32813
1314, 1058, -0.76855,  0.36444,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.75781,  0.1875
1315, 1059, -0.76406,  0.36444,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.76758,  0.1875
1316, 1060, -0.76406,  0.35007,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.76758,  0.32813
1317, 1058, -0.76855,  0.36444,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.75781,  0.1875
1318, 1060, -0.76406,  0.35007,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.76758,  0.32813
1319, 1061, -0.76855,  0.35007,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.75781,  0.32813
1320, 1062, -0.76227,  0.36924,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.76953,  0.1875
1321, 1063, -0.75777,  0.36924,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.7793,  0.1875
1322, 1064, -0.75777,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.7793,  0.32813
1323, 1062, -0.76227,  0.36924,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.76953,  0.1875
1324, 1064, -0.75777,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.7793,  0.32813
1325, 1065, -0.76227,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.76953,  0.32813
1326, 1066, -0.75508,  0.36764,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.99023,  0.32813
1327, 1067, -0.75148,  0.36764,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.99805,  0.32813
1328, 1068, -0.75148,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.99805,  0.45313
1329, 1066, -0.75508,  0.36764,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.99023,  0.32813
1330, 1068, -0.75148,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.99805,  0.45313
1331, 1069, -0.75508,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.99023,  0.45313
1332, 1070, -0.7443,  0.36764,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.94336,  0.32813
1333, 1071, -0.73801,  0.36764,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.95703,  0.32813
1334, 1072, -0.73801,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.95703,  0.45313
1335, 1070, -0.7443,  0.36764,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.94336,  0.32813
1336, 1072, -0.73801,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.95703,  0.45313
1337, 1073, -0.7443,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.94336,  0.45313
1338, 1074, -0.73711,  0.36924,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.76953,  0.1875
1339, 1075, -0.73262,  0.36924,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.7793,  0.1875
1340, 1076, -0.73262,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.7793,  0.32813
1341, 1074, -0.73711,  0.36924,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.76953,  0.1875
1342, 1076, -0.73262,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.7793,  0.32813
1343, 1077, -0.73711,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.76953,  0.32813
1344, 1078, -0.73082,  0.36444,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.26953,  0.4375
1345, 1079, -0.72633,  0.36444,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.2793,  0.4375
1346, 1080, -0.72633,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.2793,  0.53125
1347, 1078, -0.73082,  0.36444,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.26953,  0.4375
1348, 1080, -0.72633,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.2793,  0.53125
1349, 1081, -0.73082,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.26953,  0.53125
1350, 1082, -0.72543,  0.36444,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.16797,  0.4375
1351, 1083, -0.71914,  0.36444,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.18164,  0.4375
1352, 1084, -0.71914,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.18164,  0.53125
1353, 1082, -0.72543,  0.36444,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.16797,  0.4375
1354, 1084, -0.71914,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.18164,  0.53125
1355, 1085, -0.72543,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.16797,  0.53125
1356, 1086, -0.71824,  0.36444,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.26953,  0.4375
1357, 1087, -0.71375,  0.36444,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.2793,  0.4375
1358, 1088, -0.71375,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.2793,  0.53125
1359, 1086, -0.71824,  0.36444,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.26953,  0.4375
1360, 1088, -0.71375,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.2793,  0.53125
1361, 1089, -0.71824,  0.35486,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.26953,  0.53125
1362, 1090, -0.94687,  0.34306,  0.50,  1.00,  0.16078,  0.2902,  0.47843,  0.54118,  0.00098,  0.00781
1363, 1091, -0.77652,  0.34306,  0.50,  1.00,  0.16078,  0.2902,  0.47843,  0.54118,  0.00098,  0.00781
1364, 1092, -0.77652,  0.31396,  0.50,  1.00,  0.16078,  0.2902,  0.47843,  0.54118,  0.00098,  0.00781
1365, 1090, -0.94687,  0.34306,  0.50,  1.00,  0.16078,  0.2902,  0.47843,  0.54118,  0.00098,  0.00781
1366, 1092, -0.77652,  0.31396,  0.50,  1.00,  0.16078,  0.2902,  0.47843,  0.54118,  0.00098,  0.00781
1367, 1093, -0.94687,  0.31396,  0.50,  1.00,  0.16078,  0.2902,  0.47843,  0.54118,  0.00098,  0.00781
1368, 1094, -0.77652,  0.34306,  0.50,  1.00,  0.25882,  0.58824,  0.98039,  0.40,  0.00098,  0.00781
1369, 1095, -0.76016,  0.34306,  0.50,  1.00,  0.25882,  0.58824,  0.98039,  0.40,  0.00098,  0.00781
1370, 1096, -0.76016,  0.31396,  0.50,  1.00,  0.25882,  0.58824,  0.98039,  0.40,  0.00098,  0.00781
1371, 1094, -0.77652,  0.34306,  0.50,  1.00,  0.25882,  0.58824,  0.98039,  0.40,  0.00098,  0.00781
1372, 1096, -0.76016,  0.31396,  0.50,  1.00,  0.25882,  0.58824,  0.98039,  0.40,  0.00098,  0.00781
1373, 1097, -0.77652,  0.31396,  0.50,  1.00,  0.25882,  0.58824,  0.98039,  0.40,  0.00098,  0.00781
1374, 1098, -0.76834,  0.32297,  0.50,  1.00,  1.00,  1.00,  1.00,  1.00,  0.00098,  0.00781
